VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,BASE LINE BL Port FOC (MT/DAY),Count of Type,Average of Tsw,Type,Primary Manager,Potential,Count of VSL_IMO_NUMBER
9884966,Nordic Nuluujaak,1.230089655449869,1.1,20,15.4,Bulk Carrier,CYP SMC,-17011.351613552117,20
9842712,Golden Coral,1.2311692969870878,0.876,34,24.764705882352942,Bulk Carrier,SG SMC,2199.6097560975586,34
9743150,Golden Nimbus,1.2399591162827268,,23,23.565217391304348,Bulk Carrier,SG SMC,-46374.712477396024,23
9360958,Xena,1.2479028871013376,1.02,14,25.285714285714285,Tanker,SG SMC,-2493.71706412296,14
9743198,Golden Incus,1.2607142857142857,,8,27.5,Bulk Carrier,SG SMC,-19467.428571428572,8
9304306,Marina Aman,1.2634984639016893,1.46,24,29.291666666666668,Tanker,SG SMC,-17565.493087557603,24
9739953,Pacific Qingdao,1.2698868707494233,0.657,18,27.5,LPG Carrier,SG SMC,-52703.23694000551,18
9375939,NGM Panther,1.2701652534820358,0.52,21,27.80952380952381,Bulk Carrier,CYP SMC,-12552.776716828357,21
9958535,CUL Klang,1.2774853181660444,1,14,25.428571428571427,Container Ship,CN SMC,-7216.836899385265,14
9435686,Ludwig Schulte,1.2808004176574606,1,16,23.125,Container Ship,CYP SMC,-6855.431696530509,16
9682887,Sea Bliss,1.2832654914452915,0.46,22,16.772727272727273,Bulk Carrier,HK SMC,-14599.386163522013,22
9659115,Severin Schulte,1.3240964980433008,0.89,37,25.43243243243243,LPG Carrier,IN SMC,-156017.50400940553,37
9529463,Nordic Orion,1.327355342060648,0.91,27,5.333333333333333,Bulk Carrier,CYP SMC,-12972.703708134912,27
9525821,SFL Hudson,1.329879151660664,0.555,42,19.095238095238095,Bulk Carrier,SG SMC,-21283.589915966382,42
9394519,Emmy Schulte,1.339880645938592,0.85,26,12.076923076923077,Tanker,CYP SMC,-3484.0517227671,26
9665683,Carl Schulte,1.3432309040776136,1.5,19,21.68421052631579,Container Ship,HK SMC,1560.27289314571,19
9379038,Harris,1.352018546365915,0.87,30,23.966666666666665,Tanker,SG SMC,-1685.4108810487737,30
9686376,Sirocco,1.3610792492179353,0.78,4,21,LPG Carrier,SG SMC,-16475.649255853634,4
9406362,Lucky Feb,1.3629784110944343,1.14,14,27.928571428571427,Tanker,SG SMC,-33142.368141725456,14
9856488,Golden Confidence,1.3683857292133152,0.876,15,12.266666666666667,Bulk Carrier,SG SMC,917.710703090013,15
9567996,Jasper Dream,1.3686215509467536,0.68,17,26,Bulk Carrier,IN SMC,-13544.385372418239,17
9340752,Phen Basin,1.3739701431988547,1.5,41,25.29268292682927,Container Ship,CYP SMC,-56031.181019639414,41
9375604,Royal Jasmine,1.375,0.5,4,24.75,Tanker,IN SMC,-17360,4
9624768,Amelia,1.378018843819866,1.1,20,25.55,Tanker,SG SMC,-15134.104120089429,20
9309162,Green Ace,1.3804801248926102,1,22,27,Container Ship,SG SMC,-16435.769413778355,22
9694438,Majestic,1.3815420581031381,1,20,22.15,Container Ship,CYP SMC,-28759.88509206075,20
9850795,EVER FIT,1.3935697999129797,2.5,21,23.19047619047619,Container Ship,HK SMC,35220.452345881684,21
9878888,Gui Ying,1.3993649584171832,1.5,27,23.88888888888889,LNG Carrier,GR SMC,-8001.883312818709,27
9852523,Golden Fortune,1.4076532567049809,0.8,24,20.458333333333332,Bulk Carrier,SG SMC,-16882.249336870027,24
9836359,Key Sonority,1.416,0.56,20,27.35,Bulk Carrier,IN SMC,-3400,20
9727118,Nordic Olympic,1.4172040000000001,0.83,10,12.2,Bulk Carrier,CYP SMC,-3232.0000000000005,10
9405916,Oak Express,1.4273582110976795,0.87,27,22.185185185185187,Tanker,SG SMC,-14870.804751011317,27
9860116,Golden Fast,1.4295093906334029,0.8,34,16.294117647058822,Bulk Carrier,SG SMC,-20613.812387923685,34
9803235,Poestella,1.4342414938812922,0.62,19,18.789473684210527,Tanker,SG SMC,-5501.743461775779,19
